/work3/soeba/HALOS/halos/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
/work3/soeba/HALOS/halos/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Training Epoch 1
Epoch 1, batch no. 10, gen. loss: 0.0007244398584589362, disc. loss: nan
Epoch 1, batch no. 20, gen. loss: 0.0007668459438718855, disc. loss: nan
Epoch 1, batch no. 30, gen. loss: 0.000773065141402185, disc. loss: nan
Epoch 1, batch no. 40, gen. loss: 0.000811935868114233, disc. loss: nan
Epoch 1, batch no. 50, gen. loss: 0.0008321984205394983, disc. loss: nan
Epoch 1, batch no. 60, gen. loss: 0.0007776260026730597, disc. loss: nan
Epoch 1, batch no. 70, gen. loss: 0.0006789442850276828, disc. loss: nan
Epoch 1, batch no. 80, gen. loss: 0.0007576294592581689, disc. loss: nan
Epoch 1, batch no. 90, gen. loss: 0.0007960965158417821, disc. loss: nan
Epoch 1, batch no. 100, gen. loss: 0.0007369126542471349, disc. loss: nan
Epoch 1, batch no. 110, gen. loss: 0.0007854485884308815, disc. loss: nan
Epoch 1, batch no. 120, gen. loss: 0.0007595581118948758, disc. loss: nan
Epoch 1, batch no. 130, gen. loss: 0.0007489823619835079, disc. loss: 1.3836452960968018
Epoch 1, batch no. 140, gen. loss: 0.0008100307313725352, disc. loss: nan
Epoch 1, batch no. 150, gen. loss: 0.0007409268873743713, disc. loss: nan
Epoch 1, batch no. 160, gen. loss: 0.0006805231678299606, disc. loss: nan
Epoch 1, batch no. 170, gen. loss: 0.0007538896170444787, disc. loss: nan
Epoch 1, batch no. 180, gen. loss: 0.0007731164805591106, disc. loss: nan
Epoch 1, batch no. 190, gen. loss: 0.0007042664801701903, disc. loss: nan
Epoch 1, batch no. 200, gen. loss: 0.000818047730717808, disc. loss: nan
Epoch 1, batch no. 210, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 220, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 230, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 240, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 250, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 260, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 270, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 280, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 290, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 300, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 310, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 320, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 330, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 340, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 350, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 360, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 370, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 380, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 390, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 400, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 410, gen. loss: nan, disc. loss: nan
