/work3/soeba/HALOS/halos/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
/work3/soeba/HALOS/halos/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Training Epoch 1
Epoch 1, batch no. 10, gen. loss: 0.0006124333594925702, disc. loss: nan
Epoch 1, batch no. 20, gen. loss: 0.0014322161441668868, disc. loss: nan
Epoch 1, batch no. 30, gen. loss: 0.00620815996080637, disc. loss: nan
Epoch 1, batch no. 40, gen. loss: 0.0021909617353230715, disc. loss: nan
Epoch 1, batch no. 50, gen. loss: 5.706047431885963e-06, disc. loss: nan
Epoch 1, batch no. 60, gen. loss: 7.233407814055681e-06, disc. loss: nan
Epoch 1, batch no. 70, gen. loss: 2.211780270044983e-07, disc. loss: 8.474761009216309
Epoch 1, batch no. 80, gen. loss: 6.074160410207696e-07, disc. loss: nan
Epoch 1, batch no. 90, gen. loss: 4.0775941556603357e-07, disc. loss: nan
Epoch 1, batch no. 100, gen. loss: 1.1827508217265859e-07, disc. loss: nan
Epoch 1, batch no. 110, gen. loss: 2.1139554107207914e-08, disc. loss: nan
Epoch 1, batch no. 120, gen. loss: 1.549701167391504e-08, disc. loss: nan
Epoch 1, batch no. 130, gen. loss: 3.933886549845056e-09, disc. loss: 14.544896125793457
Epoch 1, batch no. 140, gen. loss: 2.4239181772856e-09, disc. loss: nan
Epoch 1, batch no. 150, gen. loss: 2.5033910500127377e-09, disc. loss: nan
Epoch 1, batch no. 160, gen. loss: 8.22539014677659e-09, disc. loss: nan
Epoch 1, batch no. 170, gen. loss: 1.0331463462520674e-09, disc. loss: nan
Epoch 1, batch no. 180, gen. loss: 4.6094101868732196e-09, disc. loss: nan
Epoch 1, batch no. 190, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 200, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 210, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 220, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 230, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 240, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 250, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 260, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 270, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 280, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 290, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 300, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 310, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 320, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 330, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 340, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 350, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 360, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 370, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 380, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 390, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 400, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 410, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 420, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 430, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 440, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 450, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 460, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 470, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 480, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 490, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 500, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 510, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 520, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 530, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 540, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 550, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 560, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 570, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 580, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 590, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 600, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 610, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 620, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 630, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 640, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 650, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 660, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 670, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 680, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 690, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 700, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 710, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 720, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 730, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 740, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 750, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 760, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 770, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 780, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 790, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 800, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 810, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 820, gen. loss: nan, disc. loss: nan
